MasterNLC,MasterASC,UniqueStationName,PrimaryNaptanStopArea
5604,SMGr,St Margaret's (Greater London),910GSTMGTS
5073,SMYr,St Mary Cray,910GSTMRYC
1555,STPr,St Pancras International,910GSTPX
697,STPu,St Paul's,940GZZLUSPU
713,STBu,Stamford Brook,940GZZLUSFB
6968,SMHr,Stamford Hill,910GSTMFDHL
714,STAu,Stanmore,940GZZLUSTM
889,STLd,Star Lane,940GZZDLSTL
715,STGu,Stepney Green,940GZZLUSGN
716,STKu,Stockwell,940GZZLUSKW
6934,SKWr,Stoke Newington,910GSTKNWNG
717,SPKu,Stonebridge Park,910GSTNBGPK
5606,SNLr,Stoneleigh,910GSTLEIGH
719,SFDu,Stratford,910GSTFD
749,SHSd,Stratford High Street,940GZZDLSHS
504,STId,Stratford International DLR,940GZZDLSIT
7222,SFAr,Stratford International NR,910GSTFODOM
5607,STWr,Strawberry Hill,910GSTRWBYH
5383,STEr,Streatham,910GSTRETHM
5384,SRCr,Streatham Common,910GSTRHCOM
5435,SRHr,Streatham Hill,910GSTRHILL
1483,SUDr,Sudbury & Harrow Road,910GSDBRYHR
720,SHLu,Sudbury Hill,940GZZLUSUH
1484,SDHr,Sudbury Hill Harrow,910GSDBRYHH
721,STNu,Sudbury Town,940GZZLUSUT
